0101010101010101011010101010101010101001010101101010 0101011010101001010101010101010101101010101010101010 separated by 163285
0010011110010101010101010101011010101010101010101001010101101010100111100100 0010011110010101011010101001010101010101010101101010101010101010100111100100 separated by 315577
00100111100110011001100110011001100110011010011001100110011001011001100111100100 00100111100110011010011001100110011001011001100110011001100110011001100111100100 separated by 166085
0010011110100101010101010101011010101010101010101001010101101010010111100100 0010011110100101011010101001010101010101010101101010101010101010010111100100 separated by 163285
0010011110101001010101010101011010101010101010101001010101101001010111100100 0010011110101001011010101001010101010101010101101010101010101001010111100100 separated by 160529
0010011111000101010101010101011010101010101010101001010101101010001111100100 0010011111000101011010101001010101010101010101101010101010101010001111100100 separated by 163285
0010100001111101010101010101011010101010101010101001010101101011111000010100 0010100001111101011010101001010101010101010101101010101010101011111000010100 separated by 171026
0010100010111101010101010101011010101010101010101001010101101011110100010100 0010100010111101011010101001010101010101010101101010101010101011110100010100 separated by 161785
0010100011010111010101010101011010101010101010101001010101101110101100010100 0010100011010111011010101001010101010101010101101010101010101110101100010100 separated by 70376
0010100011011101010101010101011010101010101010101001010101101011101100010100 0010100011011101011010101001010101010101010101101010101010101011101100010100 separated by 161595
0010100011101101010101010101011010101010101010101001010101101011011100010100 0010100011101101011010101001010101010101010101101010101010101011011100010100 separated by 161585
0010100011110101010101010101011010101010101010101001010101101010111100010100 0010100011110101011010101001010101010101010101101010101010101010111100010100 separated by 163313
0010100100111101010101010101011010101010101010101001010101101011110010010100 0010100100111101011010101001010101010101010101101010101010101011110010010100 separated by 163285
0010100101010111010101010101011010101010101010101001010101101110101010010100 0010100101010111011010101001010101010101010101101010101010101110101010010100 separated by 31071
0010100101011101010101010101011010101010101010101001010101101011101010010100 0010100101011101011010101001010101010101010101101010101010101011101010010100 separated by 161785
0010100101101101010101010101011010101010101010101001010101101011011010010100 0010100101101101011010101001010101010101010101101010101010101011011010010100 separated by 161585
0010100101110101010101010101011010101010101010101001010101101010111010010100 0010100101110101011010101001010101010101010101101010101010101010111010010100 separated by 163299
0010100110011101010101010101011010101010101010101001010101101011100110010100 0010100110011101011010101001010101010101010101101010101010101011100110010100 separated by 161575
0010100110101101010101010101011010101010101010101001010101101011010110010100 0010100110101101011010101001010101010101010101101010101010101011010110010100 separated by 161575
0010100110110101010101010101011010101010101010101001010101101010110110010100 0010100110110101011010101001010101010101010101101010101010101010110110010100 separated by 163333
0010100111001101010101010101011010101010101010101001010101101011001110010100 0010100111001101011010101001010101010101010101101010101010101011001110010100 separated by 161790
0010100111010101010101010101011010101010101010101001010101101010101110010100 0010100111010101011010101001010101010101010101101010101010101010101110010100 separated by 163303
0010100111100101010101010101011010101010101010101001010101101010011110010100 0010100111100101011010101001010101010101010101101010101010101010011110010100 separated by 163285
001010011110011001011001100101101001100110100110011001100110011001100110011110010100 001010011110011001100110011001100110011001011001100101101001100110100110011110010100 separated by 164830
0010101000011111010101010101011010101010101010101001010101101111100001010100 0010101000011111011010101001010101010101010101101010101010101111100001010100 separated by 35242
0010101000111101010101010101011010101010101010101001010101101011110001010100 0010101000111101011010101001010101010101010101101010101010101011110001010100 separated by 163285
0010101001001111010101010101011010101010101010101001010101101111001001010100 0010101001001111011010101001010101010101010101101010101010101111001001010100 separated by 31060
0010101001010111010101010101011010101010101010101001010101101110101001010100 0010101001010111011010101001010101010101010101101010101010101110101001010100 separated by 31071
0010101001011101010101010101011010101010101010101001010101101011101001010100 0010101001011101011010101001010101010101010101101010101010101011101001010100 separated by 163285
0010101001100111010101010101011010101010101010101001010101101110011001010100 0010101001100111011010101001010101010101010101101010101010101110011001010100 separated by 70926
0010101001101101010101010101011010101010101010101001010101101011011001010100 0010101001101101011010101001010101010101010101101010101010101011011001010100 separated by 163285
